Code,Indicator Name,Short definition,Long definition,Source,Topic,Periodicity,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Other notes
UIS.UAPP.1.F,"Under-age enrolment ratio in primary education, female (%)",,Percentage of the female primary school age population that is under the official primary school age.,UNESCO Institute for Statistics,Primary,,,,,,,
UIS.UAPP.1,"Under-age enrolment ratio in primary education, both sexes (%)",,Percentage of the primary school age population that is under the official primary school age.,UNESCO Institute for Statistics,Primary,,,,,,,
UIS.NERT.1.M,"Total net enrolment rate, primary, male (%)",,"Total number of male students of the official age group for primary education who are enrolled in any level of education, expressed as a percentage of the corresponding male population. Divide the total number of male students in the official school age range for primary education who are enrolled in any level of education by the male population of the same age group and multiply the result by 100. The difference between the total NER and the adjusted NER provides a measure of the proportion of children in the official relevant school age group who are enrolled in levels of education below the one intended for their age. The difference between the total NER and the adjusted NER for primary education is due to enrolment in pre-primary education. The total NER should be based on total enrolment of the official relevant school age group in any level of education for all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes.",UNESCO Institute for Statistics,Primary,,,,,,,
UIS.NERT.1.GPI,"Total net enrolment rate, primary, gender parity index (GPI)",,"Ratio of female total net enrolment rate for primary to the male total net enrolment rate for primary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics,Primary,,,,,,,
UIS.NERT.1.F,"Total net enrolment rate, primary, female (%)",,"Total number of female students of the official age group for primary education who are enrolled in any level of education, expressed as a percentage of the corresponding female population. Divide the total number of female students in the official school age range for primary education who are enrolled in any level of education by the female population of the same age group and multiply the result by 100. The difference between the total NER and the adjusted NER provides a measure of the proportion of children in the official relevant school age group who are enrolled in levels of education below the one intended for their age. The difference between the total NER and the adjusted NER for primary education is due to enrolment in pre-primary education. The total NER should be based on total enrolment of the official relevant school age group in any level of education for all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes.",UNESCO Institute for Statistics,Primary,,,,,,,
UIS.NERT.1,"Total net enrolment rate, primary, both sexes (%)",,"Total number of students of the official age group for primary education who are enrolled in any level of education, expressed as a percentage of the corresponding population. Divide the total number of students in the official school age range for primary education who are enrolled in any level of education by the population of the same age group and multiply the result by 100. The difference between the total NER and the adjusted NER provides a measure of the proportion of children in the official relevant school age group who are enrolled in levels of education below the one intended for their age. The difference between the total NER and the adjusted NER for primary education is due to enrolment in pre-primary education. The total NER should be based on total enrolment of the official relevant school age group in any level of education for all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes.",UNESCO Institute for Statistics,Primary,,,,,,,
UIS.NERT.2.M,"Total net enrolment rate, lower secondary, male (%)",,"Total number of male students of the official age group for lower secondary education who are enrolled in any level of education, expressed as a percentage of the corresponding male population. Divide the total number of male students in the official school age range for lower secondary education who are enrolled in any level of education by the male population of the same age group and multiply the result by 100. The difference between the total NER and the adjusted NER provides a measure of the proportion of children in the official relevant school age group who are enrolled in levels of education below the one intended for their age. The difference between the total NER and the adjusted NER for lower secondary education is due to enrolment in pre-primary or primary education. The total NER should be based on total enrolment of the official relevant school age group in any level of education for all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes.",UNESCO Institute for Statistics,Secondary,,,,,,,
UIS.NERT.2.GPI,"Total net enrolment rate, lower secondary, gender parity index (GPI)",,"Ratio of female total net enrolment rate for lower secondary to the male total net enrolment rate for lower secondary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics,Secondary,,,,,,,
UIS.NERT.2.F,"Total net enrolment rate, lower secondary, female (%)",,"Total number of female students of the official age group for lower secondary education who are enrolled in any level of education, expressed as a percentage of the corresponding female population. Divide the total number of female students in the official school age range for lower secondary education who are enrolled in any level of education by the female population of the same age group and multiply the result by 100. The difference between the total NER and the adjusted NER provides a measure of the proportion of children in the official relevant school age group who are enrolled in levels of education below the one intended for their age. The difference between the total NER and the adjusted NER for lower secondary education is due to enrolment in pre-primary or primary education. The total NER should be based on total enrolment of the official relevant school age group in any level of education for all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes.",UNESCO Institute for Statistics,Secondary,,,,,,,
UIS.NERT.2,"Total net enrolment rate, lower secondary, both sexes (%)",,"Total number of students of the official age group for lower secondary education who are enrolled in any level of education, expressed as a percentage of the corresponding population. Divide the total number of students in the official school age range for lower secondary education who are enrolled in any level of education by the population of the same age group and multiply the result by 100. The difference between the total NER and the adjusted NER provides a measure of the proportion of children in the official relevant school age group who are enrolled in levels of education below the one intended for their age. The difference between the total NER and the adjusted NER for lower secondary education is due to enrolment in pre-primary or primary education. The total NER should be based on total enrolment of the official relevant school age group in any level of education for all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes.",UNESCO Institute for Statistics,Secondary,,,,,,,
UIS.GTVP.3.V,"Percentage of students in upper secondary education enrolled in vocational programmes, both sexes (%)",,"Total number of students enrolled in vocational programmes at the upper secondary education level, expressed as a percentage of the total number of students enrolled in all programmes (vocational and general) at the upper secondary level. Vocational education is designed for learners to acquire the knowledge, skills and competencies specific to a particular occupation or trade or class of occupations or trades. Vocational education may have work-based components (e.g. apprenticeships). Successful completion of such programmes leads to labour-market relevant vocational qualifications acknowledged as occupationally-oriented by the relevant national authorities and/or the labour market.",UNESCO Institute for Statistics,Secondary,,,,,,,
UIS.GTVP.3.GPV,"Percentage of students in upper secondary education enrolled in general programmes, both sexes (%)",,"Total number of students enrolled in general programmes at the upper secondary education level, expressed as a percentage of the total number of students enrolled in all programmes (vocational and general) at the upper secondary level. General education is designed to develop learners’ general knowledge, skills and competencies and literacy and numeracy skills, often to prepare students for more advanced educational programmes at the same or higher ISCED levels and to lay the foundation for lifelong learning. General educational programmes are typically school- or college-based. General education includes educational programmes that are designed to prepare students for entry into vocational education, but that do not prepare for employment in a particular occupation or trade or class of occupations or trades, nor lead directly to a labour market relevant qualification.",UNESCO Institute for Statistics,Secondary,,,,,,,
SE.SEC.ENRL.VO.ZS,"Percentage of students in secondary education enrolled in vocational programmes, both sexes (%)",,"Total number of students enrolled in vocational programmes at the secondary education level, expressed as a percentage of the total number of students enrolled in all programmes (vocational and general) at the secondary level. Vocational education is designed for learners to acquire the knowledge, skills and competencies specific to a particular occupation or trade or class of occupations or trades. Vocational education may have work-based components (e.g. apprenticeships). Successful completion of such programmes leads to labour-market relevant vocational qualifications acknowledged as occupationally-oriented by the relevant national authorities and/or the labour market.",UNESCO Institute for Statistics,Secondary,,,,,,,
UIS.GTVP.23.GPV,"Percentage of students in secondary education enrolled in general programmes, both sexes (%)",,"Total number of students enrolled in general programmes at the secondary education level, expressed as a percentage of the total number of students enrolled in all programmes (vocational and general) at the secondary level. General education is designed to develop learners’ general knowledge, skills and competencies and literacy and numeracy skills, often to prepare students for more advanced educational programmes at the same or higher ISCED levels and to lay the foundation for lifelong learning. General educational programmes are typically school- or college-based. General education includes educational programmes that are designed to prepare students for entry into vocational education, but that do not prepare for employment in a particular occupation or trade or class of occupations or trades, nor lead directly to a labour market relevant qualification.",UNESCO Institute for Statistics,Secondary,,,,,,,
UIS.GTVP.2.V,"Percentage of students in lower secondary education enrolled in vocational programmes, both sexes (%)",,"Total number of students enrolled in vocational programmes at the lower secondary education level, expressed as a percentage of the total number of students enrolled in all programmes (vocational and general) at the lower secondary level. Vocational education is designed for learners to acquire the knowledge, skills and competencies specific to a particular occupation or trade or class of occupations or trades. Vocational education may have work-based components (e.g. apprenticeships). Successful completion of such programmes leads to labour-market relevant vocational qualifications acknowledged as occupationally-oriented by the relevant national authorities and/or the labour market.",UNESCO Institute for Statistics,Secondary,,,,,,,
UIS.GTVP.2.GPV,"Percentage of students in lower secondary education enrolled in general programmes, both sexes (%)",,"Total number of students enrolled in general programmes at the lower secondary education level, expressed as a percentage of the total number of students enrolled in all programmes (vocational and general) at the lower secondary level. General education is designed to develop learners’ general knowledge, skills and competencies and literacy and numeracy skills, often to prepare students for more advanced educational programmes at the same or higher ISCED levels and to lay the foundation for lifelong learning. General educational programmes are typically school- or college-based. General education includes educational programmes that are designed to prepare students for entry into vocational education, but that do not prepare for employment in a particular occupation or trade or class of occupations or trades, nor lead directly to a labour market relevant qualification.",UNESCO Institute for Statistics,Secondary,,,,,,,
UIS.GTVP.3.V.M,"Percentage of male students in upper secondary education enrolled in vocational programmes, male (%)",,"Total number of male students enrolled in vocational programmes at the upper secondary education level, expressed as a percentage of the total number of male students enrolled in all programmes (vocational and general) at the upper secondary level. Vocational education is designed for learners to acquire the knowledge, skills and competencies specific to a particular occupation or trade or class of occupations or trades. Vocational education may have work-based components (e.g. apprenticeships). Successful completion of such programmes leads to labour-market relevant vocational qualifications acknowledged as occupationally-oriented by the relevant national authorities and/or the labour market.",UNESCO Institute for Statistics,Secondary,,,,,,,
UIS.GTVP.3.GPV.M,"Percentage of male students in upper secondary education enrolled in general programmes, male (%)",,"Total number of male students enrolled in general programmes at the upper secondary education level, expressed as a percentage of the total number of male students enrolled in all programmes (vocational and general) at the upper secondary level. General education is designed to develop learners’ general knowledge, skills and competencies and literacy and numeracy skills, often to prepare students for more advanced educational programmes at the same or higher ISCED levels and to lay the foundation for lifelong learning. General educational programmes are typically school- or college-based. General education includes educational programmes that are designed to prepare students for entry into vocational education, but that do not prepare for employment in a particular occupation or trade or class of occupations or trades, nor lead directly to a labour market relevant qualification.",UNESCO Institute for Statistics,Secondary,,,,,,,
SE.SEC.ENRL.MA.VO.ZS,"Percentage of male students in secondary education enrolled in vocational programmes, male (%)",,"Total number of male students enrolled in vocational programmes at the secondary education level, expressed as a percentage of the total number of male students enrolled in all programmes (vocational and general) at the secondary level. Vocational education is designed for learners to acquire the knowledge, skills and competencies specific to a particular occupation or trade or class of occupations or trades. Vocational education may have work-based components (e.g. apprenticeships). Successful completion of such programmes leads to labour-market relevant vocational qualifications acknowledged as occupationally-oriented by the relevant national authorities and/or the labour market.",UNESCO Institute for Statistics,Secondary,,,,,,,
UIS.GTVP.23.GPV.M,"Percentage of male students in secondary education enrolled in general programmes, male (%)",,"Total number of male students enrolled in general programmes at the secondary education level, expressed as a percentage of the total number of male students enrolled in all programmes (vocational and general) at the secondary level. General education is designed to develop learners’ general knowledge, skills and competencies and literacy and numeracy skills, often to prepare students for more advanced educational programmes at the same or higher ISCED levels and to lay the foundation for lifelong learning. General educational programmes are typically school- or college-based. General education includes educational programmes that are designed to prepare students for entry into vocational education, but that do not prepare for employment in a particular occupation or trade or class of occupations or trades, nor lead directly to a labour market relevant qualification.",UNESCO Institute for Statistics,Secondary,,,,,,,
UIS.GTVP.2.V.M,"Percentage of male students in lower secondary education enrolled in vocational programmes, male (%)",,"Total number of male students enrolled in vocational programmes at the lower secondary education level, expressed as a percentage of the total number of male students enrolled in all programmes (vocational and general) at the lower secondary level. Vocational education is designed for learners to acquire the knowledge, skills and competencies specific to a particular occupation or trade or class of occupations or trades. Vocational education may have work-based components (e.g. apprenticeships). Successful completion of such programmes leads to labour-market relevant vocational qualifications acknowledged as occupationally-oriented by the relevant national authorities and/or the labour market.",UNESCO Institute for Statistics,Secondary,,,,,,,
UIS.GTVP.2.GPV.M,"Percentage of male students in lower secondary education enrolled in general programmes, male (%)",,"Total number of male students enrolled in general programmes at the lower secondary education level, expressed as a percentage of the total number of male students enrolled in all programmes (vocational and general) at the lower secondary level. General education is designed to develop learners’ general knowledge, skills and competencies and literacy and numeracy skills, often to prepare students for more advanced educational programmes at the same or higher ISCED levels and to lay the foundation for lifelong learning. General educational programmes are typically school- or college-based. General education includes educational programmes that are designed to prepare students for entry into vocational education, but that do not prepare for employment in a particular occupation or trade or class of occupations or trades, nor lead directly to a labour market relevant qualification.",UNESCO Institute for Statistics,Secondary,,,,,,,
UIS.SLEN.12.T,"School life expectancy, primary and lower secondary (excluding repetition), both sexes (years)",,"Number of years of schooling that a child of a certain age can expect to receive in the future, excluding years spent repeating grades. The indicator reflects the overall level of development of an education system in terms of the average number of years of schooling without repetition that can be offered to the school-age population, including those who never enter school. It is calculated as the sum of the age specific enrolment rates for the given level of education, plus the number of pupils of unknown age in the given level of education divided by the school-age population for that level of education, and multiplied by the duration of that level of education, minus the number of repeaters in a given level of education divided by the school-age population for that level, multiplied by the duration of that level of education.",UNESCO Institute for Statistics,Secondary,,,,,,,
UIS.SLEN.12.F,"School life expectancy, primary and lower secondary (excluding repetition), female (years)",,"Number of years of schooling that a female child of a certain age can expect to receive in the future, excluding years spent repeating grades. The indicator reflects the overall level of development of an education system in terms of the average number of years of schooling without repetition that can be offered to the school-age population, including those who never enter school. It is calculated as the sum of the age specific enrolment rates for the given level of education, plus the number of pupils of unknown age in the given level of education divided by the school-age population for that level of education, and multiplied by the duration of that level of education, minus the number of repeaters in a given level of education divided by the school-age population for that level, multiplied by the duration of that level of education.",UNESCO Institute for Statistics,Secondary,,,,,,,
UIS.SLEN.12.GPI,"School life expectancy, primary and lower secondary (excluding repetition), gender parity index (GPI)",,"Ratio of female school life expectancy net of repetition to the male school life expectancy net of repetition. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics,Secondary,,,,,,,
UIS.SLEN.12.M,"School life expectancy, primary and lower secondary (excluding repetition), male (years)",,"Number of years of schooling that a male child of a certain age can expect to receive in the future, excluding years spent repeating grades. The indicator reflects the overall level of development of an education system in terms of the average number of years of schooling without repetition that can be offered to the school-age population, including those who never enter school. It is calculated as the sum of the age specific enrolment rates for the given level of education, plus the number of pupils of unknown age in the given level of education divided by the school-age population for that level of education, and multiplied by the duration of that level of education, minus the number of repeaters in a given level of education divided by the school-age population for that level, multiplied by the duration of that level of education.",UNESCO Institute for Statistics,Secondary,,,,,,,
UIS.SLE.0,"School life expectancy, pre-primary, both sexes (years)",,"Number of years a person of school entrance age can expect to spend within the specified level of education. For a child of a certain age a, the school life expectancy is calculated as the sum of the age specific enrolment rates for the levels of education specified. The part of the enrolment that is not distributed by age is divided by the school-age population for the level of education they are enrolled in, and multiplied by the duration of that level of education. The result is then added to the sum of the age-specific enrolment rates. A relatively high SLE indicates greater probability for children to spend more years in education and higher overall retention within the education system. It must be noted that the expected number of years does not necessarily coincide with the expected number of grades of education completed, because of repetition. Since school life expectancy is an average based on participation in different levels of education, the expected number of years of schooling may be pulled down by the magnitude of children who never go to school. Those children who are in school may benefit from many more years of education than the average.",UNESCO Institute for Statistics,Pre-Primary,,,,,,,
UIS.SLE.0.F,"School life expectancy, pre-primary, female (years)",,"Number of years a person of school entrance age can expect to spend within the specified level of education. For a child of a certain age a, the school life expectancy is calculated as the sum of the age specific enrolment rates for the levels of education specified. The part of the enrolment that is not distributed by age is divided by the school-age population for the level of education they are enrolled in, and multiplied by the duration of that level of education. The result is then added to the sum of the age-specific enrolment rates. A relatively high SLE indicates greater probability for children to spend more years in education and higher overall retention within the education system. It must be noted that the expected number of years does not necessarily coincide with the expected number of grades of education completed, because of repetition. Since school life expectancy is an average based on participation in different levels of education, the expected number of years of schooling may be pulled down by the magnitude of children who never go to school. Those children who are in school may benefit from many more years of education than the average.",UNESCO Institute for Statistics,Pre-Primary,,,,,,,
UIS.SLE.0.GPI,"School life expectancy, pre-primary, gender parity index (GPI)",,"Ratio of female school life expectancy to the male school life expectancy. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics,Pre-Primary,,,,,,,
UIS.SLE.0.M,"School life expectancy, pre-primary, male (years)",,"Number of years a person of school entrance age can expect to spend within the specified level of education. For a child of a certain age a, the school life expectancy is calculated as the sum of the age specific enrolment rates for the levels of education specified. The part of the enrolment that is not distributed by age is divided by the school-age population for the level of education they are enrolled in, and multiplied by the duration of that level of education. The result is then added to the sum of the age-specific enrolment rates. A relatively high SLE indicates greater probability for children to spend more years in education and higher overall retention within the education system. It must be noted that the expected number of years does not necessarily coincide with the expected number of grades of education completed, because of repetition. Since school life expectancy is an average based on participation in different levels of education, the expected number of years of schooling may be pulled down by the magnitude of children who never go to school. Those children who are in school may benefit from many more years of education than the average.",UNESCO Institute for Statistics,Pre-Primary,,,,,,,
UIS.thDur.0,Theoretical duration of pre-primary education (years),,Number of grades (years) in pre-primary education.,UNESCO Institute for Statistics,Pre-Primary,,,,,,,
UIS.SLE.1,"School life expectancy, primary, both sexes (years)",,"Number of years a person of school entrance age can expect to spend within the specified level of education. For a child of a certain age a, the school life expectancy is calculated as the sum of the age specific enrolment rates for the levels of education specified. The part of the enrolment that is not distributed by age is divided by the school-age population for the level of education they are enrolled in, and multiplied by the duration of that level of education. The result is then added to the sum of the age-specific enrolment rates. A relatively high SLE indicates greater probability for children to spend more years in education and higher overall retention within the education system. It must be noted that the expected number of years does not necessarily coincide with the expected number of grades of education completed, because of repetition. Since school life expectancy is an average based on participation in different levels of education, the expected number of years of schooling may be pulled down by the magnitude of children who never go to school. Those children who are in school may benefit from many more years of education than the average.",UNESCO Institute for Statistics,Primary,,,,,,,
UIS.SLE.1.F,"School life expectancy, primary, female (years)",,"Number of years a person of school entrance age can expect to spend within the specified level of education. For a child of a certain age a, the school life expectancy is calculated as the sum of the age specific enrolment rates for the levels of education specified. The part of the enrolment that is not distributed by age is divided by the school-age population for the level of education they are enrolled in, and multiplied by the duration of that level of education. The result is then added to the sum of the age-specific enrolment rates. A relatively high SLE indicates greater probability for children to spend more years in education and higher overall retention within the education system. It must be noted that the expected number of years does not necessarily coincide with the expected number of grades of education completed, because of repetition. Since school life expectancy is an average based on participation in different levels of education, the expected number of years of schooling may be pulled down by the magnitude of children who never go to school. Those children who are in school may benefit from many more years of education than the average.",UNESCO Institute for Statistics,Primary,,,,,,,
UIS.SLE.1.GPI,"School life expectancy, primary, gender parity index (GPI)",,"Ratio of female school life expectancy to the male school life expectancy. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics,Primary,,,,,,,
UIS.SLE.1.M,"School life expectancy, primary, male (years)",,"Number of years a person of school entrance age can expect to spend within the specified level of education. For a child of a certain age a, the school life expectancy is calculated as the sum of the age specific enrolment rates for the levels of education specified. The part of the enrolment that is not distributed by age is divided by the school-age population for the level of education they are enrolled in, and multiplied by the duration of that level of education. The result is then added to the sum of the age-specific enrolment rates. A relatively high SLE indicates greater probability for children to spend more years in education and higher overall retention within the education system. It must be noted that the expected number of years does not necessarily coincide with the expected number of grades of education completed, because of repetition. Since school life expectancy is an average based on participation in different levels of education, the expected number of years of schooling may be pulled down by the magnitude of children who never go to school. Those children who are in school may benefit from many more years of education than the average.",UNESCO Institute for Statistics,Primary,,,,,,,
SE.PRM.PRSL.ZS,"Survival rate to the last grade of primary education, both sexes (%)",,"Percentage of a cohort of students enrolled in the first grade of primary education in a given school year who are expected to reach the last grade of primary education, regardless of repetition. Divide the total number of students belonging to a school-cohort who reached each successive grade of primary education by the number of students in the school-cohort i.e. those originally enrolled in the first grade of primary education, and multiply the result by 100. The survival rate is calculated on the basis of the reconstructed cohort method, which uses data on enrolment and repeaters for two consecutive years.",UNESCO Institute for Statistics,Primary,,,,,,,
SE.PRM.PRSL.FE.ZS,"Survival rate to the last grade of primary education, female (%)",,"Percentage of a cohort of female students enrolled in the first grade of primary education in a given school year who are expected to reach the last grade of primary education, regardless of repetition. Divide the total number of students belonging to a school-cohort who reached each successive grade of primary education by the number of students in the school-cohort i.e. those originally enrolled in the first grade of primary education, and multiply the result by 100. The survival rate is calculated on the basis of the reconstructed cohort method, which uses data on enrolment and repeaters for two consecutive years.",UNESCO Institute for Statistics,Primary,,,,,,,
UIS.SR.1.Glast.GPI,"Survival rate to the last grade of primary education, gender parity index (GPI)",,"Ratio of female survival rate to the last grade of primary education to the male survival rate to the last grade of primary education. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics,Primary,,,,,,,
SE.PRM.PRSL.MA.ZS,"Survival rate to the last grade of primary education, male (%)",,"Percentage of a cohort of male students enrolled in the first grade of primary education in a given school year who are expected to reach the last grade of primary education, regardless of repetition. Divide the total number of students belonging to a school-cohort who reached each successive grade of primary education by the number of students in the school-cohort i.e. those originally enrolled in the first grade of primary education, and multiply the result by 100. The survival rate is calculated on the basis of the reconstructed cohort method, which uses data on enrolment and repeaters for two consecutive years.",UNESCO Institute for Statistics,Primary,,,,,,,
SE.PRM.DURS,Theoretical duration of primary education (years),,Number of grades (years) in primary education.,UNESCO Institute for Statistics,Primary,,,,,,,
UIS.SLE.12,"School life expectancy, primary and lower secondary, both sexes (years)",,"Number of years a person of school entrance age can expect to spend within the specified levels of education. For a child of a certain age a, the school life expectancy is calculated as the sum of the age specific enrolment rates for the levels of education specified. The part of the enrolment that is not distributed by age is divided by the school-age population for the level of education they are enrolled in, and multiplied by the duration of that level of education. The result is then added to the sum of the age-specific enrolment rates. A relatively high SLE indicates greater probability for children to spend more years in education and higher overall retention within the education system. It must be noted that the expected number of years does not necessarily coincide with the expected number of grades of education completed, because of repetition. Since school life expectancy is an average based on participation in different levels of education, the expected number of years of schooling may be pulled down by the magnitude of children who never go to school. Those children who are in school may benefit from many more years of education than the average.",UNESCO Institute for Statistics,Secondary,,,,,,,
UIS.SLE.12.F,"School life expectancy, primary and lower secondary, female (years)",,"Number of years a person of school entrance age can expect to spend within the specified levels of education. For a child of a certain age a, the school life expectancy is calculated as the sum of the age specific enrolment rates for the levels of education specified. The part of the enrolment that is not distributed by age is divided by the school-age population for the level of education they are enrolled in, and multiplied by the duration of that level of education. The result is then added to the sum of the age-specific enrolment rates. A relatively high SLE indicates greater probability for children to spend more years in education and higher overall retention within the education system. It must be noted that the expected number of years does not necessarily coincide with the expected number of grades of education completed, because of repetition. Since school life expectancy is an average based on participation in different levels of education, the expected number of years of schooling may be pulled down by the magnitude of children who never go to school. Those children who are in school may benefit from many more years of education than the average.",UNESCO Institute for Statistics,Secondary,,,,,,,
